place,type,art,sea,nature,fun,notes,latitude,longitude,mood_tags
Valletta,city,5,3,2,3,"capital city, architecture",35.8989,14.5146,art;history;walkable
Mdina,city,5,1,3,1,"silent city, medieval vibe",35.8867,14.4026,art;history;calm;photography
Birgu (Vittoriosa),city,4,3,3,2,"three cities historical",35.8881,14.5228,history;culture;quiet
Senglea,city,3,4,3,2,"harbor views",35.8878,14.5161,history;sea;calm
Cospicua,city,3,3,3,2,"three cities local life",35.8856,14.5211,history;local;sea
Rabat,city,4,3,4,2,"near Mdina caves + history",35.8815,14.3987,history;culture
Mtarfa,town,3,2,4,1,"quiet residential historical area",35.8908,14.3950,calm;history
Sliema,city,2,4,2,4,"modern seaside city",35.9122,14.5019,sea;city;walk
St. Julian's,city,2,5,2,5,"nightlife + sea",35.9199,14.4889,fun;sea;nightlife
St. Paul's Bay,city,3,5,4,3,"north coast relaxed",35.9480,14.4019,sea;calm
Mellieha,town,3,5,5,2,"beaches + views",35.9562,14.3622,sea;nature;beach
Marsaskala,town,2,5,4,2,"quiet seaside town",35.8606,14.5611,sea;calm
Marsaxlokk,village,2,5,4,3,"fishing village",35.8417,14.5431,sea;food;photography;calm
Dingli,town,3,3,5,1,"cliffs + sunset",35.8611,14.3822,nature;sunset;photography;calm
Siggiewi,town,3,3,5,1,"countryside Malta",35.8547,14.4361,nature;quiet
Mgarr,village,2,3,5,2,"rural + farms",35.9181,14.3667,nature;local;calm
Qrendi,village,3,3,5,1,"near Blue Grotto",35.8347,14.4583,nature;sea;photography
Gharghur,village,2,2,5,1,"quiet village hills",35.9242,14.4533,nature;calm
Paceville,district,1,5,1,5,"party district",35.9225,14.4914,fun;nightlife;music
Sliema,city,2,4,2,4,"cafes + promenade",35.9122,14.5019,fun;social;sea
Valletta,city,5,3,2,3,"events + culture",35.8989,14.5146,fun;art;history
Victoria (Rabat Gozo),city,4,3,5,2,"main city Gozo",36.0447,14.2390,history;calm;culture
Xlendi,village,2,5,5,2,"cliffs + sea",36.0300,14.2180,sea;nature;photography
Marsalforn,village,2,5,4,3,"beach town",36.0719,14.2581,sea;food;calm
Gharb,village,3,3,5,1,"rural Gozo",36.0583,14.2083,nature;calm
Nadur,village,3,4,5,1,"views + hills",36.0378,14.2947,nature;photography
